,,,,,,,,
313,"Hall J, Hall J","JR5.3, JR5.4",ECM Expo&Conference Management GmbH,--,Exhibitor,Foreign,Picture,"Eiswerderstraße 20A, 13585 Berlin, Germany"
314,Hall G,GS2.6,WAVEOPTIX DEFENCE SOLUTION PRIVATE LIMITED,--,Exhibitor,India,Picture," 1068, 3rd Floor, above Zigly, 24th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102"
315,Hall B,BR2.3,HUTCHINSON SA,GIFAS,Co-Exhibitor,Foreign,Picture,"2, rue Balzac, 75008 Paris, France."
316,Hall B,BR2.3,ALA,GIFAS,Co-Exhibitor,Foreign,Picture,No Address
317,Hall K,KS5.5,VMX HI CONNECTORS PRIVATE LIMITED,--,Exhibitor,India,Picture,"No. 302/B, Bannikuppe Road, Harohalli 2nd Phase Industrial Area, Kanakapura, Bangalore Rural, Karnataka - 562112"
318,Hall A,AS3.9,Gowra Aerospace Technologies Pvt Ltd,--,Exhibitor,India,Picture," #1-8-384 & 385, #502, 5th Floor, Gowra Grand, SP Road, Begumpet, Secunderabad - 500003. Telangana, India"
319,Hall K,KS3.1,AQILA TECHNOLOGIES AND INTEGRATION SOLUTIONS PVT LTD,--,Exhibitor,India,Picture," F14, ground floor, F Block, Sector 8, Noida, Uttar Pradesh 201301"
320,Hall J,JR5.5,LEONARDO,--,Exhibitor,Foreign,Picture,"Piazza Monte Grappa, 4, 00195 Rome, Italy"
321,Hall J,JS4.2,Hi-Tech,--,Exhibitor,Foreign,Picture,No Address
322,Hall J,JS4.1,Hypercoat Enterprises Pte Ltd,--,Exhibitor,Foreign,Picture," 1 Loyang Way 6, Singapore 507076"
323,Hall G,GS4.3,KEETRONICS INDIA PVT LTD,--,Exhibitor,India,Picture," Devgiri Industrial Estate In lane, Late GA Kulkarni Path, near to KARISHMA COMPLEX, next to Starbucks, Kothrud Industrial Area, Kothrud, Pune, Maharashtra 411038"
324,Hall J,JR1.2b,AXISCADES Technologies Limited,--,Exhibitor,India,Picture," 17th Floor, Manjeera Trinity Corporate, JNTU - Hitech City Rd, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072"
325,Hall G,GS2.2,SERVOCONTROLS AEROSPACE AND TECHNOLOGIES PVT LTD,--,Exhibitor,India,Picture,"No. 54, 1st Phase, Peenya Industrial Area, Bangalore, Karnataka, India, 560058"
326,Hall C,CS3.8,Directorate General of Quality Assurance,--,Exhibitor,India,Picture,"Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi, 121003, India"
327,Hall G,GS2.4,THIRD WAVE RUGGEDTECH PRIVATE LIMITED,--,Exhibitor,India,Picture,"Flat No. 104, KRANTI ICON, Lakshmipuram Colony, Rukminipurui, A. S. Rao Nagar, Secunderabad, Telangana 500062"
328,Hall G,GS2.7,Creedx Composites Pvt.Ltd,--,Exhibitor,India,," Plot No: C-20/8, Rd Number 15, Hoziwala Industrial Estate, Sachin Apparel Park SEZ., Sachin, Surat, Gujarat 394230"
329,Hall G,GS3.7,JRVD DEFSPACE TECHNOLOGIES PVT LTD,--,Exhibitor,India,Picture,"Plot No.25-P-12, Phase 1, Bidadi Indl. Area Opp TKM Gate No-1, Bidadi TMC, Karnataka 562109"
330,Hall F,FS4.5,THE ORIENTAL CHEMICAL WORKS PRIVATE LIMITED,--,Exhibitor,India,Picture,"1/1B, Gobinda Adday Rd, Chetla, Kolkata, West Bengal 700027"
331,Hall A,AS3.8,ALTEN Global Technologies Pvt Ltd,--,Exhibitor,India,Picture,"No.72 & 73, 1st Floor, Krishna Reddy Colony, above No.72 & 73, 1st Floor, K.R.Colony, Krishna Reddy Layout, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071"
332,Hall G,GR5.5A,Oerlikon Balzers Coating India Pvt. Ltd,--,Exhibitor,India,Picture,"EL-22, J Block, MIDC, Bhosari, Pune, Maharashtra 411026"
333,Hall G,GS4.7,PINBALL CLOTHING HOUSE PVT LTD,--,Exhibitor,India,Picture,"2952, Krishna Rajendra Rd, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070"
334,Hall F,FR6.9,TURBOCAM International,US Pavilion,Co-Exhibitor,Foreign,Picture,"607 Calef Hwy #200, Barrington, NH 03825, United States"
335,Hall F,FS3.5,GD JETCAT INDIA PRIVATE LIMITED,--,Exhibitor,India,Picture,"Plot No. 4, 20th Milestone, NH-19, Indra Nagar, Sector 5, Faridabad, Haryana 121006"
336,Hall J,JS3.1,Tetra Radio Systems Private Limited,--,Exhibitor,India,Picture,"Plot No. 6, SY No. 64, Sector-3, Huda Techno Enclave, Madhapur, Shaikpet, Hyderabad, Telangana, 500081, India"
337,Hall B,BR4.3,SAFRAN,GIFAS,Co-Exhibitor,Foreign,Picture," Sy No 83/1, Aurobindo Galaxy, Floor 2, Wing B, Knowledge City Rd, TSIIC, Hyderabad, Rai Durg, Telangana 500032"
338,Hall B,BR2.3,CORSE COMPOSITES AERONAUTIQUES,GIFAS,Co-Exhibitor,Foreign,Picture,"Zone Industrielle du Vazzio, 20700 Ajaccio, France"
339,Hall B,BR2.3,NSE,GIFAS,Co-Exhibitor,Foreign,Picture,"Suite 24 & 25, Vatika Business Centre, 3rd Floor, NSL Icon, 8-2-684/2/A, Plot No. 1-4, Road No. 12, Banjara Hills, Hyderabad – 500034. "
340,Hall B,BR2.3,DOMUSA GROUP SATHOM APS,GIFAS,Co-Exhibitor,Foreign,Picture,"Hauptstrasse 24, CH-4437 Waldenburg, Switzerland"
341,Hall B,BR2.3,VALLAIR,GIFAS,Co-Exhibitor,Foreign,Picture," 6b Rte de Treves, 2633 Niederanven, Luxembourg"
342,Hall B,BR2.3,DEDIENNE AEROSPACE,GIFAS,Co-Exhibitor,Foreign,Picture,"5 rue Gaye Marie, 31300 Toulouse, France"
343,Hall B,BR2.3,STS AEROSPACE TITEFLEX,GIFAS,Co-Exhibitor,Foreign,Picture,"7G2X+FHV Industrial, Industrial Estate, Varadanahalli, Karnataka 562163"
344,Hall J,JR1.6,Dassault Systemes,--,Exhibitor,Foreign,Picture,"10, rue Marcel Dassault, Vélizy-Villacoublay, 78140, France"
345,Hall G,GS3.2,MTT TELCOM PRIVATE LIMITED,--,Exhibitor,India,Picture," 6, Mumbai - Nashik Expy, Vehele, Bhiwandi, Maharashtra 421302"
346,Hall B,BR2.3,Trelleborg Aerospace,GIFAS,Co-Exhibitor,Foreign,Picture,"Johan Kocksgatan 10, P.O. Box 153, SE-231 22 Trelleborg, Sweden. "
347,Hall E,ER5.5b,Advanced Weapons and Equipment India Limited,--,Exhibitor,India,Picture,"F76Q+6WF, OFC, Kalpi Rd, Kanpur, Uttar Pradesh 208009"
348,Hall G,GR5.5C,Micross,--,Exhibitor,Foreign,Picture,"1810 S Orange Blossom Trail, Apopka, FL 32703, United States"
349,Hall K,KS2.5,SQUAREMAG SYSTEMS,--,Exhibitor,India,Picture,"phase-1,TSIIC, Plot no-4A/3, Sreeram Nagar Colony, Patancheruvu, Hyderabad, Telangana 502319"
350,Hall G,GR5.2B,VANDANA AIRCRAFT SERVICES PVT LTD,--,Exhibitor,India,Picture," Ranaji Enclave II Road, near, Sanatan Dharm Mandir Rd, Nangli Dairy, Najafgarh, New Delhi, Delhi 110043"
351,"Hall C, Hall C","CR5.1A, CR5.1B",CDAC,--,Exhibitor,India,Picture," Plot No. 6 & 7, Hardware Park, Sy No. 1/1, Srisailam Highway, Keshavagiri Post, Via, Pahadi Shareef, Hyderabad, Telangana 501510"
352,"CHALET, CHALET, CHALET, CHALET, CHALET, CHALET, CHALET, CHALET","CHALET.01, CHALET.02, CHALET.03, CHALET.04, CHALET.05, CHALET.06, CHALET.07, CHALET.08",mod,--,Exhibitor,India,Picture,"Room No 234, South Block, Ministry of Defence, New Delhi"
353,"CHALET, CHALET","CHALET.11, CHALET.12",hqids,--,Exhibitor,India,Picture," 3, West Block, Rama Krishna Puram, New Delhi, Delhi 110066"
354,"CHALET, CHALET, Hall ADVA","CHALET.17, CHALET.18, Hall ADVA",Indian Navy,--,Exhibitor,India,Picture,"Sena Bhawan, New Delhi - 110011"
355,"CHALET, CHALET, Hall E","CHALET.19, CHALET.20, ER3.1B",Indian Army,--,Exhibitor,India,Picture,"South Block, Raisina Hill, New Delhi"
356,Outdoor,OD-6B,TANTRAYUT TELECOMMUNICATIONS PRIVATE LIMITED,--,Exhibitor,India,Picture,"Unit No. B-1705 And B-1706, Plot No. 13/1 Arihant Aura, TTC MID, Sanpada, Navi Mumbai, Maharashtra 400705"
357,Hall J,JR1.1B,Jones Lang LaSalle Property Consultants India Pvt Ltd,--,Exhibitor,India,Picture,"1110, 11th Floor, Ashoka Estate, 24, Barakhamba Road, , New Delhi, Delhi, India "
358,Hall F,FR5.7,Aero Metals Alliance,US Pavilion,Co-Exhibitor,Foreign,Picture,"9/8, Hosur Main Road, Dairy Colony, Adugodi, Bengaluru, Karnataka 560029"
359,Hall F,FR6.9C,Aerospace Industries Association,US Pavilion,Co-Exhibitor,Foreign,Picture,Aerospace Industries Association
360,Hall F,FR6.9B,Future Metals,US Pavilion,Co-Exhibitor,Foreign,Picture,"10401 State Street, Tamarac, FL 33321, United States"
361,Hall F,FR6.5,General Atomics Aeronautical,US Pavilion,Co-Exhibitor,Foreign,Picture,"1000 Wilson Boulevard, Suite 1700, Arlington, VA 22209-3928, United States"
362,Hall F,FR5.9,Glenair Inc,US Pavilion,Co-Exhibitor,Foreign,Picture," 1211 Air Way, Glendale, CA 91201, United States. "
363,Hall F,FR6.8,Jonal Laboratories Inc,US Pavilion,Co-Exhibitor,Foreign,Picture," 456 Center St, Meriden, CT 06450, United States"
364,Hall F,FR6.9A,LeFiell Manufacturing Company,US Pavilion,Co-Exhibitor,Foreign,Picture,"13700 Firestone Blvd, Santa Fe Springs, CA 90670, United States"
365,Hall F,FR6.3,Lockheed Martin,US Pavilion,Co-Exhibitor,Foreign,Picture,"6801 Rockledge Drive, Bethesda, MD 20817, USA"
366,Hall F,FR5.8,Moog Inc,US Pavilion,Co-Exhibitor,Foreign,Picture,"400 Jamison Road, East Aurora, NY 14052, United States"
367,Hall F,FR6.8A,RBC Bearings Inc,US Pavilion,Co-Exhibitor,Foreign,Picture,"One Tribology Center, Oxford, CT 06478, United States"
368,Hall F,FR6.5A,RTX,US Pavilion,Co-Exhibitor,Foreign,Picture,"1000 Wilson Blvd, Arlington, VA 22209, United States"
369,Hall F,FR6.7,Titanium Industries,US Pavilion,Co-Exhibitor,Foreign,Picture,"1099/A,10TH CROSS,5TH B MAIN HBR LAYOUT,1ST STAGE,2ND BLOCK BANGALORE KA IN 560043"
370,Hall J,JS3.6,Sap Media Worldwide Ltd,--,Associate,India,Picture,"Dilkap Chambers, 509 & 511, Off Link Rd, off Veera Desai Road, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053"
371,Hall F,FR6.4,L3Harris Technologies,US Pavilion,Co-Exhibitor,Foreign,Picture,"1025 W. NASA Boulevard, Melbourne, FL 32919, United States"
372,Hall K,KS3.2,SP Guide Publications Private Limited,--,Associate,India,Picture,"A-133, Arjun Nagar, Opposite Defence Colony, New Delhi 110 003, India"
373,Hall E,ER5.5a,MAZAGON DOCK SHIPBUILDERS LTD,--,Exhibitor,India,Picture,"Dockyard Rd, Wadi Bandar, Mazgaon, Mumbai, Maharashtra 400010"
374,Hall J,JR5.3,AneCom AeroTest GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Freiheitstraße 122, 15745 Wildau, Germany"
375,Hall J,JR5.3,dSPACE India Solutions Pvt Ltd,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"2nd Floor, NXT-Tower, Embassy Manyata, 2, Outer Ring Rd, MS Ramaiah North City, Busines Park, Nagavara, Bengaluru, Karnataka 560045"
376,Hall J,JR5.3,F Zimmermann GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Bernhäuser Str. 35, 73765 Neuhausen auf den Fildern, Germany"
377,Hall J,JR5.3,FlexiCAM GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Eiswerderstraße 20A, 13585 Berlin, Germany"
378,Hall J,JR5.4,Fraunhofer AVIATION and SPACE,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Benkertsweg 9, 97246 Eibelstadt, Germany"
379,Hall J,JR5.4,HQW Precision GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture," Wachtelberg 23, 97273 Kürnach, Germany"
380,Hall J,JR5.4,Kontron HARTMANN WIENER GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Motorstraße 43, 70499 Stuttgart, Germany"
381,Hall J,JR5.4,m p international GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Thurnithistraße 2, 30519 Hannover, Germany"
382,Hall J,JR5.3,Matplus GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Hofaue 55, 42103 Wuppertal, Germany"
383,Hall J,JR5.3,COMTES FHT as,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Pr?myslová 995, 334 41 Dob?any, Czechia"
384,Hall J,JR5.3,Nordmetall GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Adorfer Hauptstraße 16, 09221 Neukirchen/Erzgebirge, Germany"
385,Hall J,JR5.4,Mototok International GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Hohenzollernstraße 47, 47799 Krefeld, Germany"
386,Hall J,JR5.3,PACE Aerospace GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture," Rotherstraße 20, 10245 Berlin, Germany"
387,Hall J,JR5.3,Quantum Systems GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Zeppelinstr. 18, 82205 Gilching, Bavaria, Germany"
388,Hall J,JR5.4,VIRA GmbH,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"Am Flugpl. 3, 03058 Neuhausen/Spree, Germany"
389,Hall J,JR5.4,Volz Servos GmbH und Co KG,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture," Heinrich-Krumm-Straße 5, 63073 Offenbach am Main, Germany"
390,Hall H,HR5.1,RANGSONS AEROSPACE PRIVATE LIMITED,Vista Consoles Electronics Pvt Ltd,Co-Exhibitor,India,Picture," # 9, KIADB Industrial Area, Sy 35, Part 36,42. Pura Village, Belagola Hobli, Shriranga Patna, Mandya – 571, 401, Hebbal Industrial Estate, Hebbal Industrial Area, Mysuru, Karnataka 571401"
391,Hall F,FR4.2,Steadicopter,LOTUS ADVANCE TECHNOLOGIES PRIVATE LIMITED,Co-Exhibitor,India,Picture,"6 Hatikshoret St. POB 729, Migdal HaEmek, 2307049, Israel"
392,Hall K,KS1.3,Export-Import Bank of India,--,Exhibitor,India,Picture,"Centre One Building, Floor 21, World Trade Centre Complex, Cuffe Parade, Mumbai – 400 005, India"
393,Hall G,GS4.6,MULTIPLE SPECIAL STEEL PVT LTD,--,Exhibitor,India,Picture,"Shanthi Pura, Phase II, Electronic City, Bengaluru, Karnataka 560099"
394,Hall J,JS4.8,Blue Skies Aviation Solutions,--,Exhibitor,Foreign,Picture,"Colombo International Airport Ratmalana, Office No 05,Hanger B, 10390, Sri Lanka"
395,Hall H,HR1.5,AXISCADES GMBH,--,Exhibitor,Foreign,Picture,"Hein-Sass-Weg 36, 21129 Hamburg, Germany"
396,Hall G,GR5.2A,SAGAR DFEENCE ENGINEERING PRIVATE LIMITED,--,Exhibitor,India,Picture,"PAP-V-13, Vasuli Village, MIDC Area, Chakan Phase 2, Maharashtra 411057"
397,Hall H,HR2.5a,SAARC CASES,SAARC Masts Tech Pvt Ltd,Co-Exhibitor,India,Picture,"Plot No: 85,86,87, Sidco Industrial Estate ,Malumichampatti (P.O, 641050"
398,Hall J,JS4.4,Firan Technology Group Corporation,--,Exhibitor,Foreign,Picture," 250 Finchdene Square, Toronto, Ontario, M1X 1A5, Canada"
399,Hall J,JR1.5,unimech aerospace and manufacturing limited,--,Exhibitor,India,Picture," 4th Phase, #538,539,542, 543, 7th Main Rd, Peenya, Bengaluru, Karnataka 560058"
400,Hall G,GS4.5,Dheya Engineering Technologies,SHUBDIN INDUSTRIES,Co-Exhibitor,India,Picture,"Kushal Garden Arcade, B-Block, 3rd Floor, No. 1a, Peenya Industrial Area, 2nd Phase, Bangalore-560058, Karnataka"
401,Hall K,KS1.1,Asteria Aerospace Limited,--,Exhibitor,India,Picture," 3rd Floor, Tellus Spaces, RWF West Colony, Yelahanka New Town, Bengaluru, Karnataka 560064"
402,Hall G,GS1.1,Newseye Media Pvt Ltd,--,Associate,India,Picture,"S13, Jangpura, Block C, Jangpura B, Hari Nagar Ashram, New Delhi, Delhi 110014"
403,Outdoor,OD-6A,Scandron Private Limited,--,Exhibitor,India,Picture," Dallas Center, 6th Floor 83/1, Plot No A1, Knowledge City Rd, Rai Durg, Telangana 500032"
404,Hall G,GR5.2D,LEKHA WIRELESS SOLUTIONS PVT LTD,--,Exhibitor,India,Picture,"Roshni Chambers, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560041"
405,Hall F,FR5.4-C,Agnikul Cosmos pvt Ltd,TamilNadu Industrial Development Corporation Limited,Co-Exhibitor,India,Picture,"910 Syndicate Bank Colony, Anna Nagar West Extn, Chennai 600101, Tamil Nadu, India. "
406,Hall C,CS1.1,Aerospace India Association,HICAL TECHNOLOGIES PRIVATE LIMITED,Co-Exhibitor,India,Picture,"#313, Brigade Road, Bangalore, Karnataka, 560001"
407,Hall G,GS3.3,SLN TECHNOLOGIES PRIVATE LIMITED,BASHI AEROSPACE PRIVATE LIMITED,Co-Exhibitor,India,Picture,"4-121, Mangalapuram, Challapalli, Krishna, Andhra Pradesh, 521131"
408,Hall E,ER5.5c,Directorate General of Quality Assurance(DGQA),--,Exhibitor,India,Picture,"2nd Floor, 'B' Block, Defence Offices Complex, Africa Avenue, New Delhi-110023"
409,Hall G,GR5.5B,HC Robotics Private Limited,--,Exhibitor,India,Picture,"Narayani Mansion, 1-90-2/10/E, Vittal Rao Nagar, Madhapur, Hyderabad, Telangana 500081"
410,Hall C,CS3.12,Foundation for Science Innovation and Development,--,Exhibitor,India,Picture," Indian Institute of Science, Innovation Centre, Campus, near Maramma Circle, near J.N. Tata Auditorium, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560012"
411,Hall J,JR5.3,BDLI German Aerospace Ind Assoc,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"ATRIUM, Friedrichstraße 60, D-10117 Berlin, Germany"
412,Hall J,JR5.4,thyssenkrupp Aerospace India Pvt,ECM Expo&Conference Management GmbH,Co-Exhibitor,Foreign,Picture,"98 & 99, Bengaluru Aerospace SEZ Park KIADB Industrial Area, Budigere, Sulibele, Bengaluru, Karnataka 562165"
413,Hall A,AS2.11,JAYEM AUTOMOTIVES P LTD,Park Controls and Communications Private Limited,Co-Exhibitor,India,Picture,"Medchal - Ghanpur - Shamirpet Rd, Ghanpur, Akbarjapet, Telangana 501401"
414,Hall G,GR5.3d,India Optel Limited.,--,Exhibitor,India,Picture,"OFILDD (Ordnance Factories Institute of Learning) Campus, Raipur, Dehradun, Uttarakhand, India, 248008. "
415,Hall G,GR5.3b,VENUS WIRES PVT LTD,--,Exhibitor,India,Picture," 3rd Floor, Mehta Mahal, Srimad Rajchandra Ji, Charni Road, Opera House, Mumbai, Maharashtra 400004"
416,Hall K,KS1.2,ENORD PRIVATE LIMITED,--,Exhibitor,India,Picture,"Cabin no- 523, 5th floor, Innovation & Incubation Centre, New Delhi, Delhi 110020"
417,Hall J,JR5.1B,Almaz-Antey Air and Space Defence Corporation,--,Exhibitor,Foreign,Picture," Vereyskaya Street, 41, Moscow, Russia, 121471"
418,Hall J,JS3.5,BETA AIR JSC,--,Exhibitor,Foreign,Picture,"16 Shmidta St., Taganrog, 347922, Russia"
419,Hall G,GR5.2B,Divyanshi Aviation Services Pvt Ltd,VANDANA AIRCRAFT SERVICES PVT LTD,Co-Exhibitor,India,Picture," PLOT NO 17, 2, Najafgarh Rd, opp. NANGLI DAIRY, Ranaji Enclave, Masudabad, Najafgarh, New Delhi, Delhi, 110043"
420,"CHALET, CHALET","CHALET.45, CHALET.46",Karnataka State Industrial and Infrastructure Development Corporation Limited,--,Exhibitor,India,Picture," 4th Floor, Khanija Bhavan, 49, Race Course Rd, Racecourse, East Wing, Bengaluru, Karnataka 560001"
421,"Hall J, Hall J","JR2.4b, JR2.4a",AP Airport Development Corporation Limited,--,Exhibitor,India,Picture,"AP AIRPORTS DEVELOPMENT CORP. LTD. 4th Floor, IHC Corporate, Near APIIC building, IT Park, Mangalagiri - 522503"
,,,,,,,,
,,,,,,,,
